date,tracking_id,category,source,price,name,mall,url,product_id
2026-06-16,c14,creatine,naver,16900,마이프로틴 크레아틴 부스터 임팩트 크레아틴 모노하이드레이트 무맛 100g 250g,윰플레이스,https://smartstore.naver.com/main/products/10393104147,87937609006
2026-06-16,c15,creatine,naver,22000,옵티멈 뉴트리션 마이크로나이즈드 크레아틴 모노하이드레이트 100캡슐,에너지풀,https://smartstore.naver.com/main/products/13085714943,90630226035
2026-06-16,c16,creatine,naver,18550,21세기 Full Fuel 365 크레아틴 일수화물 구미젤리 믹스 베리 맛 구미젤리 75개,원직구,https://www.onejikgu.co.kr/shop_view?idx=57954,60102565916
2026-06-16,c17,creatine,naver,3820,독일 크레아틴 모노 하이드레이트 헬스부스터 3000PUR 발포 20정,유로토탈,https://smartstore.naver.com/main/products/11504710181,89049220546
2026-06-16,c19,creatine,naver,11900,크레아틴 모노하이드레이트 3000,칼로바이,http://www.calobye.shop/view.php?num=2485&pid=naverdb,46223107901
2026-06-16,c20,creatine,naver,16900,마이프로틴 크레아틴 부스터 임팩트 크레아틴 모노하이드레이트 무맛 100g 250g,윰플레이스,https://smartstore.naver.com/main/products/10393104147,87937609006
2026-06-16,c21,creatine,naver,9900,나우푸드 파우더 퓨어 크레아틴 모노하이드레이트 227g,헬씨픽스,https://smartstore.naver.com/main/products/12077125314,89621636013
2026-06-16,c22,creatine,naver,24900,머슬테크 셀테크 셀텍 크리에이터 크레아틴 HCI 무맛 235g,LUXE J,https://smartstore.naver.com/main/products/11662915245,89207425712
2026-06-16,g1,guard,naver,990,데드리프트 웨이트 헬스 리프팅 그립 스트랩 손목 보호대 아대,만물상점 스마트점,https://smartstore.naver.com/main/products/6571834479,84116334812
2026-06-16,g2,guard,naver,7000,손목 결절종 헬스 스트랩 가죽 sbd 리스트랩 시크 스트랩 손고정,빈즈몰,http://reknit0013.godomall.com/goods/goods_view.php?goodsNo=1000346264&inflow=naver,55503517008
2026-06-16,g3,guard,naver,7000,반품/KM 베어컴플렉스 카본 콤프 3홀 그립 손바닥보호대,펀키보이,https://www.funkeyboy.co.kr/goods/goods_view.php?goodsNo=1000038916&inflow=naver,21492240525
